,n,m,i,t,prob_size
0,10,18,0,14.438550472259521,180
1,10,18,1,1.861443281173706,180
2,10,18,2,3.1891961097717285,180
3,10,18,3,90.56684970855713,180
4,10,18,4,7.27297306060791,180
5,10,18,5,18.820656776428223,180
6,10,18,6,2.8232028484344482,180
7,10,18,7,0.6065518856048584,180
8,10,18,8,4.37496280670166,180
9,10,18,9,2.1736927032470703,180
10,10,18,10,8.693520784378052,180
11,10,18,11,2.38218092918396,180
12,10,18,12,17.673832893371582,180
13,10,18,13,0.5005033016204834,180
14,10,18,14,8.379611015319824,180
15,10,18,15,2.2542545795440674,180
16,10,18,16,8.546262264251709,180
17,10,18,17,2.8700413703918457,180
18,10,18,18,1.4604620933532715,180
19,10,18,19,3.9942069053649902,180
20,10,19,0,6.0246312618255615,190
21,10,19,1,6.337499380111694,190
22,10,19,2,95.51823115348816,190
23,10,19,3,1.5293192863464355,190
24,10,19,4,43.41177463531494,190
25,10,19,5,236.3045036792755,190
26,10,19,6,4.540278673171997,190
27,10,19,7,33.13947796821594,190
28,10,19,8,1.3711295127868652,190
29,10,19,9,3.4669077396392822,190
30,10,19,10,51.0219829082489,190
31,10,19,11,2.3978044986724854,190
32,10,19,12,2.3333182334899902,190
33,10,19,13,5.162596702575684,190
34,10,19,14,3.6388540267944336,190
35,10,19,15,19.93424081802368,190
36,10,19,16,15.12359094619751,190
37,10,19,17,2.1216936111450195,190
38,10,19,18,19.383021116256714,190
39,10,19,19,116.55167508125305,190
40,10,20,0,3.8419606685638428,200
41,10,20,1,300.0409269332886,200
42,15,10,0,3.7793655395507812,150
43,15,10,1,4.810081481933594,150
44,15,10,2,1.2514452934265137,150
45,15,10,3,2.5284218788146973,150
46,15,10,4,2.5971972942352295,150
47,15,10,5,3.2801945209503174,150
48,15,10,6,3.0280370712280273,150
49,15,10,7,18.835376739501953,150
50,15,10,8,4.37881064414978,150
51,15,10,9,2.2834343910217285,150
52,15,10,10,6.650853157043457,150
53,15,10,11,10.11189866065979,150
54,15,10,12,23.669661283493042,150
55,15,10,13,3.437567949295044,150
56,15,10,14,2.4935779571533203,150
57,15,10,15,2.184021234512329,150
58,15,10,16,1.4853260517120361,150
59,15,10,17,6.587913274765015,150
60,15,10,18,17.308245420455933,150
61,15,10,19,6.953602075576782,150
62,16,10,0,300.06803250312805,160
63,11,11,0,5.144625663757324,121
64,11,11,1,1.3678984642028809,121
65,11,11,2,2.203239679336548,121
66,11,11,3,1.7334504127502441,121
67,11,11,4,4.586781740188599,121
68,11,11,5,1.7729465961456299,121
69,11,11,6,6.988020896911621,121
70,11,11,7,1.835832118988037,121
71,11,11,8,1.173698902130127,121
72,11,11,9,1.6087884902954102,121
73,11,11,10,1.0126874446868896,121
74,11,11,11,2.8104286193847656,121
75,11,11,12,2.6061923503875732,121
76,11,11,13,0.94584059715271,121
77,11,11,14,2.0566048622131348,121
78,11,11,15,3.0954365730285645,121
79,11,11,16,2.755319595336914,121
80,11,11,17,1.3392488956451416,121
81,11,11,18,0.7049596309661865,121
82,11,11,19,5.774441480636597,121
83,11,13,0,3.575690984725952,143
84,11,13,1,5.385692358016968,143
85,11,13,2,5.431390762329102,143
86,11,13,3,1.935051441192627,143
87,11,13,4,3.1139075756073,143
88,11,13,5,4.972979545593262,143
89,11,13,6,2.2710208892822266,143
90,11,13,7,1.0893595218658447,143
91,11,13,8,3.1344645023345947,143
92,11,13,9,1.6108064651489258,143
93,11,13,10,0.9629881381988525,143
94,11,13,11,2.8221323490142822,143
95,11,13,12,1.3552196025848389,143
96,11,13,13,4.357142925262451,143
97,11,13,14,1.0141968727111816,143
98,11,13,15,1.65480637550354,143
99,11,13,16,0.7605235576629639,143
100,11,13,17,2.8757853507995605,143
101,11,13,18,1.2791740894317627,143
102,11,13,19,3.428828716278076,143
103,11,15,0,1.662660837173462,165
104,11,15,1,1.1880300045013428,165
105,11,15,2,2.374990701675415,165
106,11,15,3,18.183868169784546,165
107,11,15,4,2.8037126064300537,165
108,11,15,5,2.4286482334136963,165
109,11,15,6,0.7674472332000732,165
110,11,15,7,18.103456258773804,165
111,11,15,8,2.3909668922424316,165
112,11,15,9,0.5937535762786865,165
113,11,15,10,74.60191679000854,165
114,11,15,11,4.774942636489868,165
115,11,15,12,3.7650845050811768,165
116,11,15,13,1.1577305793762207,165
117,11,15,14,3.688343048095703,165
118,11,15,15,7.6975274085998535,165
119,11,15,16,1.0387437343597412,165
120,11,15,17,2.781064987182617,165
121,11,15,18,1.4539008140563965,165
122,11,15,19,0.8828630447387695,165
123,11,17,0,2.3005967140197754,187
124,11,17,1,3.1191630363464355,187
125,11,17,2,4.319770812988281,187
126,11,17,3,3.8987350463867188,187
127,11,17,4,2.0168349742889404,187
128,11,17,5,5.458606958389282,187
129,11,17,6,21.36066699028015,187
130,11,17,7,2.347862482070923,187
131,11,17,8,5.540611982345581,187
132,11,17,9,2.043351173400879,187
133,11,17,10,38.29072046279907,187
134,11,17,11,5.709615468978882,187
135,11,17,12,13.551085233688354,187
136,11,17,13,2.9095213413238525,187
137,11,17,14,3.8671698570251465,187
138,11,17,15,3.618166923522949,187
139,11,17,16,31.497305631637573,187
140,11,17,17,11.049689292907715,187
141,11,17,18,6.601388216018677,187
142,11,17,19,13.31590461730957,187
143,11,19,0,138.8086977005005,209
144,11,19,1,3.049044609069824,209
145,11,19,2,1.7516214847564697,209
146,11,19,3,24.091403245925903,209
147,11,19,4,165.13654851913452,209
148,11,19,5,48.63991832733154,209
149,11,19,6,1.676375389099121,209
150,11,19,7,2.625753879547119,209
151,11,19,8,6.5637500286102295,209
152,11,19,9,300.0649416446686,209
