n,m,t
10,20,2.391085386
10,20,20.25169921
10,20,0.965997696
10,20,43.98425651
10,20,277.1131444
10,20,91.27977085
10,20,4.179135323
10,20,133.2227883
10,20,1.726471901
10,20,4.190769434
10,21,6.225506783
10,21,14.21286058
10,21,3.866472721
10,21,9.952459812
10,21,6.105466843
10,21,3.751796961
10,21,44.33213592
10,21,247.2259481
10,21,0.721375465
10,21,2.814733505
10,22,3.143475294
10,22,8.359628201
10,22,6.739048004
10,22,5.23100853
10,22,6.550501347
10,22,50.21237564
10,22,73.98284483
10,22,41.84234571
10,22,2.282503605
10,22,36.84420633
10,23,353.119633
10,23,1.922539473
10,23,8.099408865
10,23,6.126953363
10,23,492.9453228
10,23,7.088044882
10,23,19.80246043
10,23,27.70980453
10,23,17.83852386
10,23,8.496344805
10,24,121.3238943
10,24,0.076063633
10,24,11.68138933
10,24,1.365769386
10,24,3.27148962
10,24,34.20392323
10,24,9.87100172
10,24,88.80801487
10,24,2.812840939
10,24,29.52262568
10,25,6.995976925
10,25,10.43865275
10,25,0.913084269
10,25,66.47587872
10,25,415.5950334
